method,budget,run_id,aeroplane,bicycle,bus,car,horse,knife,motorcycle,person,plant,skateboard,train,truck
source_only,,20260819_113043_150389_TV,53.730115,28.834532,50.426439,75.002404,66.403752,4.674699,76.311249,21.875000,68.014948,48.575186,78.328612,6.362653
module_dense,full,20260819_113043_109480_TV,60.888645,12.776978,81.194030,65.099510,74.141974,0.096386,86.300897,26.000000,37.942405,72.906620,70.561851,0.324441
full_dense,full,20260819_113043_130632_TV,94.843664,64.230216,84.797441,61.513316,90.385845,77.060241,86.404417,67.900000,79.533964,64.620780,83.026440,26.351839
module_random,0.0005,20260819_113039_410471_TV,53.720973,28.709832,50.682303,74.986380,66.432175,4.674699,76.374511,21.908333,67.853741,48.502119,78.265659,6.296563
module_random,0.001,20260819_113039_409926_TV,53.684403,28.604317,50.931059,74.989584,66.446387,4.674699,76.414769,21.825000,67.743826,48.443665,78.249921,6.266522
module_random,0.002,20260819_113039_410110_TV,53.693545,28.450839,51.307747,74.995994,66.425069,4.674699,76.713826,21.633333,67.494687,48.253690,78.234183,6.176400
module_magnitude,0.0005,20260819_113043_415625_TV,53.730115,28.719424,50.724947,74.954331,66.510339,4.674699,76.380262,21.800000,67.817103,48.531346,78.234183,6.326604
module_magnitude,0.001,20260819_113043_294425_TV,53.702688,28.604317,50.959488,74.954331,66.595609,4.674699,76.570048,21.700000,67.663223,48.619027,78.234183,6.326604
module_magnitude,0.002,20260819_113610_190923_TV,53.702688,28.431655,51.236674,74.973560,66.446387,4.674699,76.828847,21.500000,67.553308,48.312144,78.257790,6.236482
module_saliency,0.0005,20260819_113612_041746_TV,53.044432,27.712230,50.660981,76.309970,65.764229,4.674699,77.277433,21.075000,66.256320,46.909250,77.880076,5.695746
module_saliency,0.001,20260819_113612_204319_TV,52.687877,26.964029,51.513859,76.771464,65.401833,4.626506,77.984817,20.450000,65.179160,45.900921,77.525968,5.299207
module_saliency,0.002,20260819_113612_266151_TV,52.194185,25.122302,53.752665,76.819537,65.188659,4.578313,79.347826,19.525000,63.970103,44.717229,77.124646,4.848594
formal_lbi,0.0005,20260825_040836_611977_TV,55.019199,57.640288,47.974414,64.368811,79.663185,41.397590,70.617667,22.125000,66.871840,48.355984,76.817753,9.859409
formal_lbi,0.001,20260825_040836_612277_TV,54.799781,46.330935,50.490405,72.925680,75.271797,32.771084,77.294686,16.775000,76.302484,36.562911,78.682720,5.389329
formal_lbi,0.002,20260825_040836_611580_TV,58.557323,50.906475,49.339019,70.224017,78.426775,18.265060,74.499655,27.200000,74.126182,49.101271,78.068933,7.101658
